
fra_louis_iv_lefort = {
    priority = 1
    tags = { fra_louis_iv_lefort }
    portrait_info =
    {
        genes={
            hair_color={ 80 105 148 146 }
            skin_color={ 101 63 101 63 }
            eye_color={ 89 39 50 39 }
            pose={ "" 127 "" 127 }
            poses_height={ "all_height" 127 "all_height" 127 }
            gene_aging_body={ "old_body" 196 "old_body" 196 }
            gene_aging_eyes={ "old_eyes_2" 180 "old_eyes_2" 180 }
            gene_aging_forehead={ "old_forehead_1" 226 "old_forehead_1" 226 }
            gene_aging_mouth={ "old_mouth_3" 195 "old_mouth_3" 195 }
            gene_body_weight={ "template_1" 137 "template_1" 137 }
            gene_complexion={ "face_smooth" 255 "face_default" 255 }
            gene_cheek_def={ "template_2" 52 "template_2" 52 }
            gene_cheek_fat={ "template_3" 218 "template_3" 218 }
            gene_cheek_forward={ "template_1" 103 "template_1" 103 }
            gene_cheek_height={ "template_1" 149 "template_1" 149 }
            gene_cheek_width={ "template_1" 170 "template_1" 170 }
            gene_chin_def={ "template_1" 123 "template_1" 123 }
            gene_chin_dimple={ "template_1" 15 "template_1" 15 }
            gene_chin_height={ "template_1" 117 "template_1" 117 }
            gene_chin_length={ "template_1" 119 "template_1" 119 }
            gene_chin_size={ "template_1" 100 "template_1" 100 }
            gene_ear_angle={ "template_1" 67 "template_1" 67 }
            gene_ear_out={ "template_1" 130 "template_1" 130 }
            gene_ear_size={ "template_1" 139 "template_1" 139 }
            gene_eye_angle={ "template_1" 185 "template_1" 185 }
            gene_eye_forward={ "template_1" 177 "template_1" 177 }
            gene_eye_height={ "template_1" 137 "template_1" 137 }
            gene_eye_lower_lid_def={ "template_1" 195 "template_1" 195 }
            gene_eye_open={ "template_1" 115 "template_1" 115 }
            gene_eye_size={ "template_1" 127 "template_1" 127 }
            gene_eye_socket={ "template_1" 240 "template_1" 240 }
            gene_eye_spacing={ "template_1" 120 "template_1" 120 }
            gene_eye_upper_lid_shape={ "template_1" 237 "template_1" 237 }
            gene_eye_upper_lid_size={ "template_1" 114 "template_1" 114 }
            gene_forehead_angle={ "template_1" 129 "template_1" 129 }
            gene_forehead_brow_angle={ "template_1" 125 "template_1" 125 }
            gene_forehead_brow_curve={ "template_1" 28 "template_1" 28 }
            gene_forehead_brow_forward={ "template_1" 145 "template_1" 145 }
            gene_forehead_brow_height={ "template_1" 107 "template_1" 107 }
            gene_forehead_height={ "template_1" 131 "template_1" 131 }
